#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
299,My Melody outfit,,T-Shirt,Chelsea's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,pink,pink,cute,Unisex,-,,-,-,マイメロディなふく,blusa My Melody,blusa My Melody,tenue My Melody,tenue My Melody,My-Melody-Outfit,maglietta My Melody,마이 멜로디 옷,1.4,-,2672,36AB,tops_snr_mymelo,Yes,,,-,,,My Melody outfit
300,natty shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,Fairy Tale,-,pink,blue,cute,Unisex,Plaid,,-,-,ピンクツイードのふくL,jersey paseo rosa,jersey paseo rosa,pull filet,pull filet,Mohair-Pulli,maglia di classe,핑크 트웨이드 옷 L,1.0,25BC,2609,3642,tops_tweed_pnk,No,,,natty shirt,,,-
301,natty tee,,T-Shirt,Able Sisters,Summer,Yes,380,-,95,76,4,3,-,Fairy Tale,-,pink,blue,cute,Female,Plaid,,-,-,ピンクツイードのふく,camiseta paseo rosa,camiseta paseo rosa,t-shirt filet,t-shirt filet,Mohair-Shirt,maglietta di classe,핑크 트웨이드 옷,1.0,2494,24E1,351A,tops_tweed_pnk,Yes,,,-,,,natty tee
302,nebula shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,purple,white,flashy,Unisex,Nature,,-,-,ネビュラなふくL,jersey nebulosa,jersey nebulosa,pull galaxie,pull galaxie,Funkelpulli,maglia nebulosa,은하수 옷 L,1.0,25C3,2610,3649,tops_nebula,No,,,nebula shirt,,,-
303,nebula tee,,T-Shirt,Able Sisters,-,Yes,390,-,97,77,4,3,-,-,-,purple,white,flashy,Unisex,Nature,,-,-,ネビュラなふく,camiseta nebulosa,camiseta nebulosa,t-shirt galaxie,t-shirt galaxie,Funkelshirt,maglietta nebulosa,은하수 옷,1.0,24E2,252F,3568,tops_nebula,Yes,,,-,,,nebula tee
304,new hero's outfit,,Shirt,Zelda RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,aqua,aqua,iconic,Unisex,-,,-,-,あたらしいゆうしゃのふく,túnica héroe nueva,túnica héroe nueva,tenue nouveau Link,tenue nouveau Link,Neuhelden-Outfit,costume nuovo eroe,새로운 용사 옷,1.4,-,266D,36A6,tops_nin_linkwild,Yes,,,-,,,-
305,new spring tee,,T-Shirt,Able Sisters,Spring,Yes,520,-,130,104,6,3,-,Harmonious,-,purple,blue,iconic,Male,Nature,,-,-,ブルーチャイナなふく,camiseta escarcha,camiseta escarcha,t-shirt iris bleu,t-shirt iris bleu,Satinshirt,maglietta violette,중국풍 파란 옷,1.0,2509,2556,358F,tops_china_blu,Yes,,,-,,,-
306,night-sky tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,blue,modern,Unisex,Nature,,-,-,よぞらなふく,camiseta estrellada,camiseta estrellada,t-shirt astral,t-shirt astral,Sternbild-Shirt,maglietta universo,밤하늘 옷,1.0,24E0,252D,3566,tops_nightsky,Yes,,,-,,,-
307,nine-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,yellow,white,sporty,Unisex,Manufactured,,-,-,9ばんだまのふく,camiseta bola 9,camiseta bola 9,t-shirt nº 9,t-shirt nº 9,9er-Shirt,maglietta palla 9,9번공 옷,1.0,2450,249D,34D6,tops_numball_9,Yes,,,-,,,nine-ball tee
308,ninja shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,ninja,Harmonious,-,blue,black,historical,Male,-,,-,-,しのびのふく,jersey de ninja,jersey de ninja,pull ninja,pull ninja,Ninjapulli,maglia ninja,닌자 옷,1.0,2549,2596,35CF,tops_ninja,Yes,,,-,,,ninja shirt
309,No. 1 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,red,aqua,sporty,Unisex,Manufactured,,-,-,No.1のふく,jersey n.º 1,jersey n.º 1,pull 1,pull 1,Nr.-1-Pulli,maglia nº 1,No.1 옷,1.0,2467,24B4,34ED,tops_no_1,No,,,No. 1 shirt,,,No. 1 shirt
310,No. 2 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,blue,white,sporty,Unisex,Manufactured,,-,-,No.2のふく,jersey n.º 2,jersey n.º 2,pull 2,pull 2,Nr.-2-Pulli,maglia nº 2,No.2 옷,1.0,2468,24B5,34EE,tops_no_2,No,,,No. 2 shirt,,,No. 2 shirt
311,No. 23 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,aqua,orange,sporty,Unisex,Manufactured,,-,-,No.23のふく,jersey n.º 23,jersey n.º 23,pull 23,pull 23,Nr.-23-Pulli,maglia nº 23,No.23 옷,1.0,246C,24B9,34F2,tops_no_23,No,,,No. 23 shirt,,,No. 23 shirt
312,No. 3 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,green,orange,sporty,Unisex,Manufactured,,-,-,No.3のふく,jersey n.º 3,jersey n.º 3,pull 3,pull 3,Nr.-3-Pulli,maglia nº 3,No.3 옷,1.0,2469,24B6,34EF,tops_no_3,No,,,No. 3 shirt,,,No. 3 shirt
313,No. 4 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,pink,red,sporty,Unisex,Manufactured,,-,-,No.4のふく,jersey n.º 4,jersey n.º 4,pull 4,pull 4,Nr.-4-Pulli,maglia nº 4,No.4 옷,1.0,246A,24B7,34F0,tops_no_4,No,,,No. 4 shirt,,,No. 4 shirt
314,No. 5 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,yellow,purple,sporty,Unisex,Manufactured,,-,-,No.5のふく,jersey n.º 5,jersey n.º 5,pull 5,pull 5,Nr.-5-Pulli,maglia nº 5,No.5 옷,1.0,246B,24B8,34F1,tops_no_5,No,,,No. 5 shirt,,,-
315,No. 67 shirt,,Shirt,Able Sisters,-,Yes,250,-,62,49,3,3,-,-,-,orange,aqua,sporty,Unisex,Manufactured,,-,-,No.67のふく,jersey n.º 67,jersey n.º 67,pull 67,pull 67,Nr.-67-Pulli,maglia nº 67,No.67 옷,1.0,246D,24BA,34F3,tops_no_67,No,,,No. 67 shirt,,,No. 67 shirt
316,noble shirt,,Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,Antique,-,purple,beige,ornate,Unisex,Nature,,-,-,かくちょうたかいふく,jersey príncipe,jersey príncipe,pull noble,pull noble,Adelspulli,giacca nobile,격조 높은 옷,1.0,250D,255A,3593,tops_noble,No,,,noble shirt,,,noble shirt
317,noodle tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,Harmonious,-,white,colorful,flashy,Unisex,Nature,,-,-,ラーメンなふく,camiseta oriental,camiseta oriental,t-shirt oriental,t-shirt oriental,Nudelshirt,maglietta giapponese,중화요리 옷,1.0,2504,2551,358A,tops_noodle,Yes,,,-,,,-
318,one-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,yellow,yellow,sporty,Unisex,Manufactured,,-,-,1ばんだまのふく,camiseta bola 1,camiseta bola 1,t-shirt nº 1,t-shirt nº 1,1er-Shirt,maglietta palla 1,1번공 옷,1.0,2448,2495,34CE,tops_numball_1,Yes,,,-,,,one-ball tee
319,optical shirt,,Shirt,Able Sisters,-,Yes,430,-,107,85,5,3,-,Trendy,-,aqua,pink,flashy,Unisex,Nature,,-,-,オプティカルなふく,jersey óptico,jersey óptico,pull optique,pull optique,Optik-Pulli,maglia optical,착시현상 옷,1.0,24DD,252A,3563,tops_optical,No,,,optical shirt,,,-
320,optical tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,Trendy,-,aqua,pink,flashy,Unisex,Nature,,-,-,オプティカルなふくN,top óptico,top óptico,débardeur optique,débardeur optique,Optik-Top,canotta optical,착시현상 옷 N,1.0,25EE,263B,3674,tops_optical,Yes,,,-,,,-
321,orange jacket,,Shirt,Able Sisters,-,Yes,200,-,50,40,2,3,worker,Sci-Fi,-,orange,orange,sporty,Unisex,-,,-,-,オレンジさぎょうぎ,chaqueta de trabajo,chaqueta de trabajo,pull d'ouvrier,pull d'ouvrier,Arbeitsjacke,maglia tuta lavoro,오렌지 작업복,1.0,252B,2578,35B1,tops_worker_org,Yes,,,-,,,orange jacket
322,orange tie-dye tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,orange,white,basic,Unisex,Nature,,-,-,オレンジソーダなふくN,top hippy ámbar,top hippy ámbar,débard. batik orange,débard. batik orange,Batiktop,canotta arancione,오렌지 소다 옷 N,1.0,25FE,264B,3684,tops_img_orgsoda,Yes,,,-,,,-
323,orange tie-dye tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,orange,white,basic,Unisex,Nature,,-,-,オレンジソーダなふく,camiseta hippy ámbar,camiseta hippy ámbar,t-shirt batik orange,t-shirt batik orange,Batikshirt,maglietta arancione,오렌지 소다 옷,1.0,2479,24C6,34FF,tops_img_orgsoda,Yes,,,-,,,-
324,painter's shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,Harmonious,-,purple,white,historical,Unisex,Nature,,-,-,しぼりぞめなふくL,jersey morado,jersey morado,pull peintre,pull peintre,Malerpulli,maglia da pittore,무늬염색 옷 L,1.0,25A7,25F4,362D,tops_jpn_sibori,Yes,,,-,,,painter's shirt
325,painter's tee,,T-Shirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,Harmonious,-,purple,white,historical,Unisex,Nature,,-,-,しぼりぞめなふく,camiseta morada,camiseta morada,t-shirt peintre,t-shirt peintre,Malershirt,maglietta da pittore,무늬염색 옷,1.0,24EB,2538,3571,tops_jpn_sibori,Yes,,,-,,,-
326,pastel-stripe tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,colorful,white,iconic,Unisex,H-Striped,,-,-,アメリカンなふく,camiseta heladería,camiseta heladería,t-shirt berlingot,t-shirt berlingot,Pastellshirt,maglietta pastello,아메리칸 옷,1.0,24A6,24F3,352C,tops_american,Yes,,,-,,,pastel-stripe tee
327,paw tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,pink,purple,basic,Unisex,Manufactured,,-,-,あしあとのふく,camiseta huellas,camiseta huellas,t-shirt pattes,t-shirt pattes,Tatzenshirt,maglietta zampa,발자국 옷,1.0,2451,249E,34D7,tops_paw,Yes,,,-,,,paw tee
328,peachy tank,,Tank Top,Able Sisters,Spring,Yes,280,-,70,56,3,3,-,-,-,pink,yellow,cute,Unisex,Fruit,,-,-,ピーチなふくN,top melocotón,top melocotón,débardeur pêche,débardeur pêche,Pfirsichtop,canotta pesca,복숭아색 옷 N,1.0,25E8,2635,366E,tops_img_peachy,Yes,,,-,,,-
329,peachy tee,,T-Shirt,Able Sisters,Spring,Yes,390,-,97,77,4,3,-,-,-,pink,yellow,cute,Female,Fruit,,-,-,ピーチなふく,camiseta melocotón,camiseta melocotón,t-shirt pêche,t-shirt pêche,Pfirsichshirt,maglietta pesca,복숭아색 옷,1.0,2476,24C3,34FC,tops_img_peachy,Yes,,,-,,,peachy tee
330,peacoat,,Shirt,Able Sisters,Winter,Yes,480,-,120,96,6,3,-,-,-,blue,blue,basic,Unisex,-,,-,-,ダッフルコート,trenca azul,trenca azul,duffel-coat,duffel-coat,Dufflecoat,giacca montgomery,더플코트,1.0,2593,25E0,3619,tops_coat_duffel,Yes,,,-,,,peacoat
331,pep-squad tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,red,white,sporty,Female,Manufactured,,-,-,チアリーダーなふくN,top animadora,top animadora,débardeur soda,débardeur soda,Cheerleader-Top,canotta cheerleader,치어리더 옷 N,1.0,2603,2650,3689,tops_cheer,Yes,,,-,,,-
332,pep-squad tee,,Shirt,Able Sisters,-,Yes,280,-,70,56,3,3,-,-,-,red,white,sporty,Female,Manufactured,,-,-,チアリーダーなふく,jersey animadora,jersey animadora,pull soda,pull soda,Cheerleader-Pulli,maglia cheerleader,치어리더 옷,1.0,2589,25D6,360F,tops_cheer,Yes,,,-,,,pep-squad tee
333,periwinkle tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,Harmonious,-,blue,purple,iconic,Unisex,Nature,,-,-,アジアなあおいふく,camiseta asiática,camiseta asiática,t-shirt Asie,t-shirt Asie,Östlich-Shirt,maglietta asiatica,아시아풍 파란 옷,1.0,2507,2554,358D,tops_asia_blu,Yes,,,-,,,periwinkle tee
334,picnic shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,pink,purple,basic,Unisex,Plaid,,-,-,ベリーギンガムなふくL,jersey vichy lila,jersey vichy lila,pull vichy sorbet,pull vichy sorbet,Rosa-Karo-Pulli,maglia amarena,베리 깅엄 옷 L,1.0,25BB,2608,3641,tops_gingham_berry,No,,,picnic shirt,,,picnic shirt
335,picnic tee,,T-Shirt,Able Sisters,Fall,Yes,330,-,82,65,4,3,-,-,-,pink,purple,basic,Unisex,Plaid,,-,-,ベリーギンガムなふく,camiseta vichy lila,camiseta vichy lila,t-shirt vichy sorbet,t-shirt vichy sorbet,Rosa-Karo-Shirt,maglietta amarena,베리 깅엄 옷,1.0,24AE,24FB,3534,tops_gingham_berry,Yes,,,-,,,picnic tee
336,pink argyle shirt,,Shirt,GracieGrace,-,No,"6,200",-,"1,550",-,77,251,-,Fairy Tale,-,pink,gray,cute,Female,Argyle,,-,-,ピンクアーガイルのふくL,jersey rombos rosa,jersey pijo rosa,pull écossais rose,pull écossais rose,Rosa-Argyle-Pulli,maglia rombi rosa,핑크 아가일 옷 L,1.0,24BB,2508,3541,tops_argyle_pnk,Yes,,,-,,,pink argyle shirt
337,pink argyle tank,,Tank Top,GracieGrace,Summer,No,"5,400",-,"1,350",-,67,251,-,Fairy Tale,-,pink,gray,cute,Unisex,Argyle,,-,-,ピンクアーガイルのふくN,top rombos rosa,top pijo rosa,débardeur écos. rose,débardeur écos. rose,Rosa-Argyle-Top,canotta rombi rosa,핑크 아가일 옷 N,1.0,25F5,2642,367B,tops_argyle_pnk,Yes,,,-,,,-
338,pink argyle tee,,T-Shirt,GracieGrace,-,No,"5,800",-,"1,450",-,72,251,-,Fairy Tale,-,pink,gray,cute,Female,Argyle,,-,-,ピンクアーガイルのふく,camiseta rombos rosa,camiseta pija rosa,t-shirt écos. rose,t-shirt écos. rose,Rosa-Argyle-Shirt,maglietta rombi rosa,핑크 아가일 옷,1.0,24BC,2509,3542,tops_argyle_pnk,Yes,,,-,,,-
339,pink parka,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,pink,pink,basic,Unisex,-,,-,-,ピンクのパーカー,sudadera rosa,sudadera rosa,sweat rose,sweat rose,Pink-Parka,felpa rosa,핑크 파카,1.0,2570,25BD,35F6,tops_parka,Yes,,,-,,,pink parka
340,pink pj shirt,,Shirt,Able Sisters,-,Yes,240,-,60,48,3,3,-,-,-,pink,pink,basic,Female,V-Striped,,-,-,あかパジャマ,pijama rosa,pijama rosa,haut pyjama rose,haut pyjama rose,Mädchen-Pyjamajacke,maglia pigiama rosa,빨간 파자마,1.0,258E,25DB,3614,tops_pajama_red,Yes,,,-,,,-
341,pink tank,,Tank Top,GracieGrace,Summer,No,"4,800",-,"1,200",-,60,251,-,Fairy Tale,-,pink,pink,cute,Female,-,,-,-,ピンクのキャミソール,top rosa,top rosa,débardeur rose,débardeur rose,Pink-Spitzentop,canotta fiocco rosa,핑크 캐미솔,1.0,255D,25AA,35E3,tops_cami_pnk,Yes,,,-,,,-
342,pink tartan shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,Fairy Tale,-,pink,white,cute,Unisex,Plaid,,-,-,ピンクタータンのふくL,jersey tartán rosa,jersey tartán rosa,pull tartan rose,pull tartan rose,Schweinchenpulli,maglia tartan rosa,핑크 타탄 옷 L,1.0,25BD,260A,3643,tops_tartan_pnk,Yes,,,-,,,-
343,pink tartan tee,,T-Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,Fairy Tale,-,pink,white,cute,Unisex,Plaid,,-,-,ピンクタータンのふく,camiseta tartán rosa,camiseta tartán rosa,t-shirt tartan rose,t-shirt tartan rose,Schweinchenshirt,magliet. tartan rosa,핑크 타탄 옷,1.0,24B3,2500,3539,tops_tartan_pnk,Yes,,,-,,,pink tartan tee
344,pink wave tank,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,Fairy Tale,-,pink,pink,cute,Female,-,,-,-,ピンクスパンコール,top olas rosa,top olas rosa,débardeur vague rose,débardeur vague rose,Himbeertop,canotta a onde rosa,핑크 스팽글 옷,1.0,2500,254D,3586,tops_spangles_pnk,Yes,,,-,,,pink wave tank
345,pink-bud tank,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,Fairy Tale,-,pink,white,cute,Female,Nature,,-,-,ピンクのプリントキャミ,top estival,top estival,débardeur fleur rose,débardeur fleur rose,Knospentop,canotta fiori rosa,핑크 프린트 캐미솔,1.0,255A,25A7,35E0,tops_camiprint_pnk,Yes,,,-,,,-
346,pleather vest,,Tank Top,GracieGrace,-,No,"6,200",-,"1,550",-,77,251,-,-,-,black,black,rock 'n' roll,Male,-,,-,-,レザーベスト,chaleco polipiel,chaleco polipiel,gilet en cuir,gilet en cuir,Kunstlederweste,canotta ecopelle,가죽 롱베스트,1.0,2538,2585,35BE,tops_vest_leather,No,,,pleather vest,,,pleather vest
347,polo shirt,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,white,blue,sporty,Unisex,-,,-,-,ポロシャツ,polo dependiente,polo dependiente,polo,polo,Polohemd,polo,폴로 셔츠,1.4,-,265C,3695,tops_polo_shirt,Yes,,,-,,,-
348,Pompompurin outfit,,T-Shirt,Marty's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,yellow,yellow,cute,Unisex,Manufactured,,-,-,ポムポムプリンなふく,camiseta Pompompurin,camiseta Pompompurin,tenue Pompompurin,tenue Pompompurin,Pompompurin-Outfit,magliet. Pompompurin,폼폼푸린 옷,1.4,-,2674,36AD,tops_snr_prin,Yes,,,-,,,Pompompurin outfit
349,pop bloom tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Rustic,-,green,red,flashy,Unisex,Nature,,-,-,ポップなはなのシャツ,camiseta jardín,camiseta jardín,t-shirt pop,t-shirt pop,Blumenbeetshirt,maglietta sgargiante,발랄한 꽃무늬 셔츠,1.0,2580,25CD,3606,tops_flw_pop,Yes,,,-,,,-
350,preppy shirt,,Shirt,Able Sisters,Spring,Yes,360,-,90,72,4,3,-,-,-,white,pink,modern,Male,-,,-,-,トレンディーなふく,camisa con jersey,camisa con jersey,pull distingué,pull distingué,Umhängepullover,camicia precisina,트렌디 옷,1.0,259A,25E7,3620,tops_trendy,Yes,,,-,,,-
351,prism tee,,T-Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,-,-,white,colorful,flashy,Unisex,Nature,,-,-,スペクトルなふく,camiseta prisma,camiseta prisma,t-shirt prisme,t-shirt prisme,Ausgehshirt,maglietta prisma,스펙트럼 옷,1.0,2566,25B3,35EC,tops_ptn_spectre,Yes,,,-,,,prism tee
352,pulse shirt,,Shirt,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,Sci-Fi,-,green,yellow,rock 'n' roll,Unisex,Nature,,-,-,パルスなふくL,jersey pulso,jersey pulso,pull ECG,pull ECG,EKG-Pulli,maglia pulsazioni,펄스무늬 옷 L,1.0,25A8,25F5,362E,tops_pulse,No,,,pulse shirt,,,-
353,pulse tank,,Tank Top,GracieGrace,-,No,"6,000",-,"1,500",-,75,251,-,Sci-Fi / Toy Shop,-,green,yellow,rock 'n' roll,Unisex,Nature,,-,-,パルスなふく,top pulso,top pulso,débardeur ECG,débardeur ECG,EKG-Top,canotta pulsazioni,펄스무늬 옷,1.0,24F0,253D,3576,tops_pulse,Yes,,,-,,,-
354,purple tie-dye tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,purple,white,basic,Unisex,Nature,,-,-,グレープソーダのふくN,top hippy lila,top hippy lila,débard. batik mauve,débard. batik mauve,Ökotop,canotta viola,그레이프 소다 옷 N,1.0,25E2,262F,3668,tops_img_grpsoda,Yes,,,-,,,-
355,purple tie-dye tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,purple,white,basic,Unisex,Nature,,-,-,グレープソーダなふく,camiseta hippy lila,camiseta hippy lila,t-shirt batik mauve,t-shirt batik mauve,Ökoshirt,maglietta viola,그레이프 소다 옷,1.0,247A,24C7,3500,tops_img_grpsoda,Yes,,,-,,,purple tie-dye tee
356,racer 6 tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,yellow,black,sporty,Male,Nature,,-,-,ゼッケン6のふく,camiseta jinete,camiseta jinete,t-shirt course 6,t-shirt course 6,Fußballshirt,maglietta da corsa 6,6번 레이서 옷,1.0,24A8,24F5,352E,tops_bibs_6,Yes,,,-,,,racer 6 tee
357,racer tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,white,blue,sporty,Unisex,H-Striped,,-,-,いかしたラインのふく,camiseta circuito,camiseta circuito,t-shirt course,t-shirt course,Jockeyshirt,maglietta da corsa,라인을 살려주는 옷,1.0,24A5,24F2,352B,tops_line_cool,Yes,,,-,,,racer tee
358,racing shirt,,Shirt,Able Sisters,-,Yes,460,-,115,92,5,3,racer,Toy Shop,-,red,colorful,sporty,Male,-,,-,-,レーサーなふく,jersey carreras,jersey carreras,pull pilote,pull pilote,Rennfahrerjacke,maglia da pilota,카레이서 옷,1.0,252A,2577,35B0,tops_racer,No,,,racing shirt,,,-
359,raglan shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,blue,basic,Unisex,Manufactured,,-,-,あおのながラグランシャツ,jersey azulado,jersey azulado,pull coupe raglan,pull coupe raglan,Raglan-Pulli,maglia raglan,파란 긴팔 래글런 셔츠,1.0,2550,259D,35D6,tops_raglan_blu,Yes,,,-,,,-
360,raglan tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,blue,basic,Unisex,Manufactured,,-,-,あおのラグランシャツ,camiseta azulada,camiseta azulada,t-shirt coupe raglan,t-shirt coupe raglan,Raglan-Shirt,maglietta raglan,파란 래글런 셔츠,1.0,25A2,25EF,3628,tops_raglan_blu,Yes,,,-,,,-
361,rainbow tank,,Tank Top,Able Sisters,Summer,Yes,777,-,194,155,9,3,-,-,-,white,colorful,ornate,Unisex,H-Striped,,-,-,レインボーなふくN,top arcoíris,top arcoíris,débardeur irisé,débardeur irisé,Iris-Top,canotta arcobaleno,무지개 옷 N,1.0,2607,2654,368D,tops_img_rainbow,Yes,,,-,,,-
362,rainbow tee,,T-Shirt,Able Sisters,Summer,Yes,777,-,194,155,9,3,-,-,-,colorful,colorful,ornate,Unisex,H-Striped,,-,-,レインボーなふく,camiseta arcoíris,camiseta arcoíris,t-shirt irisé,t-shirt irisé,Iris-Shirt,maglietta arcobaleno,무지개 옷,1.0,2477,24C4,34FD,tops_img_rainbow,Yes,,,-,,,rainbow tee
363,rally tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,Trendy,-,colorful,white,sporty,Unisex,H-Striped,,-,-,ラリーなふくN,top toldo,top toldo,débardeur rallye,débardeur rallye,Rallye-Top,canotta da rally,랠리 옷 N,1.0,25F0,263D,3676,tops_stripe_rally,Yes,,,-,,,-
364,rally tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,colorful,white,sporty,Unisex,H-Striped,,-,-,ラリーなふく,camiseta toldo,camiseta toldo,t-shirt rallye,t-shirt rallye,Rallye-Shirt,maglietta da rally,랠리 옷,1.0,24A7,24F4,352D,tops_stripe_rally,Yes,,,-,,,rally tee
365,red aloha tee,,T-Shirt,Souvenir Shop,Summer,No,-,15,187,149,9,99,-,-,-,red,red,iconic,Unisex,Nature,,-,-,あかのアロハ,camiseta aloha roja,camiseta aloha roja,chemise Hawaï rouge,chemise Hawaï rouge,Inselshirt,camicia aloha rossa,빨간 알로하셔츠,1.0,250E,255B,3594,tops_aloha_red,Yes,,,-,,,-
366,red argyle shirt,,Shirt,GracieGrace,Winter,No,"6,200",-,"1,550",-,77,251,-,-,-,red,red,iconic,Female,Argyle,,-,-,あかアーガイルのふくL,jersey rombos rojo,jersey pijo rojo,pull écossais rouge,pull écossais rouge,Rot-Argyle-Pulli,maglia rombi rossi,빨간 아가일 옷 L,1.0,24B7,2504,353D,tops_argyle_red,Yes,,,-,,,-
367,red argyle tee,,T-Shirt,GracieGrace,Fall,No,"5,800",-,"1,450",-,72,251,-,-,-,red,red,iconic,Female,Argyle,,-,-,あかアーガイルのふく,camiseta rombos roja,camiseta pija roja,t-shirt écos. rouge,t-shirt écos. rouge,Rot-Argyle-Shirt,magliet. rombi ros.,빨간 아가일 옷,1.0,24B8,2505,353E,tops_argyle_red,Yes,,,-,,,-
368,red down jacket,,Shirt,Able Sisters,Winter,Yes,520,-,130,104,6,3,-,-,-,red,red,basic,Female,-,,-,-,あかいダウンジャケット,chaqueta roja,chaqueta roja,doudoune rouge,doudoune rouge,Erdbeerpulli,golfino rosso,빨간 다운 재킷,1.0,251F,256C,35A5,tops_down_red,Yes,,,-,,,red down jacket
369,red flannel shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,red,colorful,basic,Unisex,Plaid,,-,-,あかいネルシャツ,camisa franela roja,camisa franela roja,pull flanelle rouge,pull flanelle rouge,Holzfällerhemd,camicia grunge rossa,빨간 플란넬 셔츠,1.0,2557,25A4,35DD,tops_nelshirts_red,Yes,,,-,,,red flannel shirt
370,red gym tee,,T-Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,white,red,sporty,Unisex,-,,-,-,あかいたいそうふく,camiseta sport roja,camiseta sport roja,t-shirt sport rouge,t-shirt sport rouge,Fitness-Shirt,magliet. sport rossa,빨간 체육복,1.0,2533,2580,35B9,tops_gym_red,Yes,,,-,,,-
371,red jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,red,red,sporty,Unisex,-,,-,-,あかのレインウェア,chubasquero rojo,chubasquero rojo,veste rouge,veste rouge,Windjacke,giacca pioggia rossa,빨간 우비,1.0,257C,25C9,3602,tops_rainware_red,Yes,,,-,,,red jacket
372,red letter jacket,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,red,red,rock 'n' roll,Male,Manufactured,,-,-,あかいスタジャン,cazadora roja,cazadora roja,veste collège rouge,veste collège rouge,Collegejacke „C“,giacca college rossa,빨간 스포츠 점퍼,1.0,2552,259F,35D8,tops_stajan_red,Yes,,,-,,,red letter jacket
